"Id-offerta","CIG","oggetto-offerta","data-contratto-offerta","importo-offerta","offerente","data-ricezione-offerta"
"28988","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"871505.43","Valentino Giuseppe - Società di costruzioni e restauro monumenti","2012-09-05"
"28989","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"782402.18","Tecnorestauri","2012-09-06"
"28990","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"839922.6","TECNORES","2012-09-06"
"28991","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"899108.42","Lande","2012-09-06"
"28992","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico","2013-06-27","550307.86","Perillo Costruzioni Generali","2012-09-06"
"28993","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"889324.89","Lattanzi","2012-09-06"
"28994","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"796987.47","IMPRESA INGG MARIO E PAOLO COSENZA SRL","2012-09-06"
"28996","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"814611.31","Flovares","2012-09-06"
"28997","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"739344.72","Ar.fe.ga.","2012-09-06"
"28998","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"886543.04","COBAR - Costruzioni Barozzi","2012-09-06"
"29000","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"717403.52","COOPERATIVA ARCHEOLOGIA","2012-09-06"
"29001","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"839198.6","Vitiello s.r.l.","2012-09-06"
"29002","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"630486.87","EDIL.RE.CO.S","2012-09-06"
"29003","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"817614.46","Edil Atellana","2012-09-07"
"29004","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"823132.59","CO.GE.P.AR. COSTRUZIONI GENERALI SAS","2012-09-07"
"29005","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"745096.39","I.CO.RES. S.r.l.","2012-09-07"
"29006","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"616198.2","SAMOA RESTAURI SRL","2012-09-07"
"29007","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"685703.3","INGEGNER ANTONIO POMPA S.R.L.","2012-09-07"
"29008","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"901656.81","Edilerica","2012-09-07"
"29009","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"662484.47","Research Consorzio","2012-09-07"
"29010","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"796495.73","C.I.E.S. COSTRUZIONI INDUSTRIALIZZATE EDILI STRADALI","2012-09-07"
"29013","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"787592.01","Izzo Mario Costruzioni s.r.l.","2012-09-07"
"29014","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"927654.21","Edil COOP","2012-09-07"
"29016","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"789694.4","Pa.Co. Pacifico Costruzioni","2012-09-07"
"29030","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"784258.93","GEO.GA. COSTRUZIONI Sr.l.","2012-09-07"
"29828","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,,"Consorzio Artek","2012-12-11"
"30341","41068675DB","Lavori di consolidamento e restauro delle strutture della Casa del Marinaio",,"672152.61","Ronga","2012-09-04"
"32334","41068675DB","Lavori di consolidamento e restauro delle strutture della Casa del Marinaio","2013-11-13","585381.36","Forte Costruzioni e Restauri","2012-09-04"
